accepted,accuracy_accepted,cal_auprc,cal_auroc,cal_brier,cal_ece,cal_n_labeled,ci_high,ci_low,coverage,dataset,mean_cost,method,n,n_test,raw_accuracy,risk_accepted,seed,threshold
184.0,0.907608695652174,0.9286114591593079,0.5248015873015873,0.0943847072879331,0.09318996415770607,186.0,0.9510869565217391,0.8695652173913043,0.989247311827957,gpt-5_5_judgebench,0.0,max_signal,186.0,186,0.9032258064516129,0.09239130434782605,4,1.0
171.0,0.935672514619883,0.954339038581644,0.6706349206349206,0.08064516129032256,0.0698924731182796,186.0,0.9707602339181286,0.8947368421052632,0.9193548387096774,gpt-5_5_judgebench,0.0,rubric_only,186.0,186,0.9032258064516129,0.06432748538011701,4,1.0
161.0,0.9254658385093167,0.936433054974319,0.6101190476190477,0.16666666666666666,0.16666666666666669,186.0,0.9627329192546584,0.8819875776397516,0.8655913978494624,gpt-5_5_judgebench,0.0,swap_only,186.0,186,0.9032258064516129,0.07453416149068326,4,1.0
178.0,0.9157303370786517,0.928403559665696,0.5684523809523809,0.0913978494623656,0.08602150537634407,186.0,0.9550561797752809,0.8707865168539326,0.956989247311828,gpt-5_5_judgebench,0.0,self_only,186.0,186,0.9032258064516129,0.0842696629213483,4,1.0
186.0,0.9032258064516129,0.9152520216143399,0.5,0.25,0.4032258064516129,186.0,0.946236559139785,0.8548387096774194,1.0,gpt-5_5_judgebench,0.0,raw,186.0,186,0.9032258064516129,0.09677419354838712,4,0.0
34.0,0.9705882352941176,0.9713383626471259,0.7832225913621262,0.06769154857316803,0.04778248198596603,186.0,1.0,0.9117647058823529,0.1827956989247312,gpt-5_5_judgebench,0.0,logistic_fusion,186.0,186,0.9247311827956989,0.02941176470588236,5,0.9913638900117939
184.0,0.9293478260869565,0.9805813105189254,0.7911129568106312,0.06812554838709685,0.053376344086021585,186.0,0.9619565217391305,0.8913043478260869,0.989247311827957,gpt-5_5_judgebench,0.0,best_single_signal,186.0,186,0.9247311827956989,0.07065217391304346,5,0.6140000000000001
185.0,0.9243243243243243,0.9120769870252227,0.49709302325581395,0.07586618876941457,0.07706093189964158,186.0,0.9567567567567568,0.8864864864864865,0.9946236559139785,gpt-5_5_judgebench,0.0,max_signal,186.0,186,0.9247311827956989,0.07567567567567568,5,1.0
172.0,0.9418604651162791,0.9305222627731213,0.6129568106312292,0.07004181600955794,0.058243727598566296,186.0,0.9709302325581395,0.9011627906976745,0.9247311827956989,gpt-5_5_judgebench,0.0,rubric_only,186.0,186,0.9247311827956989,0.05813953488372092,5,1.0
186.0,0.9247311827956989,0.9295917984598117,0.5635382059800664,0.13978494623655913,0.13978494623655913,186.0,0.9623655913978495,0.8870967741935484,1.0,gpt-5_5_judgebench,0.0,swap_only,186.0,186,0.9247311827956989,0.07526881720430112,5,0.0
179.0,0.9273743016759777,0.9148849820559788,0.5182724252491694,0.0793010752688172,0.08333333333333331,186.0,0.9608938547486033,0.888268156424581,0.9623655913978495,gpt-5_5_judgebench,0.0,self_only,186.0,186,0.9247311827956989,0.07262569832402233,5,1.0
186.0,0.9247311827956989,0.9137364238712963,0.5,0.25,0.4247311827956989,186.0,0.9623655913978495,0.8870967741935484,1.0,gpt-5_5_judgebench,0.0,raw,186.0,186,0.9247311827956989,0.07526881720430112,5,0.0
33.0,0.9696969696969697,0.9856023722470678,0.8571428571428571,0.05744355430569558,0.060977693612402246,186.0,1.0,0.9090909090909091,0.1774193548387097,gpt-5_5_judgebench,0.0,logistic_fusion,186.0,186,0.9408602150537635,0.030303030303030276,6,0.9806498093033346
186.0,0.9408602150537635,0.9872988707086202,0.8327272727272728,0.05978655913978498,0.06037634408602099,186.0,0.9731182795698925,0.9032258064516129,1.0,gpt-5_5_judgebench,0.0,best_single_signal,186.0,186,0.9408602150537635,0.05913978494623651,6,0.5
186.0,0.9408602150537635,0.9197778091536604,0.5,0.05913978494623656,0.05913978494623651,186.0,0.9731182795698925,0.9032258064516129,1.0,gpt-5_5_judgebench,0.0,max_signal,186.0,186,0.9408602150537635,0.05913978494623651,6,0.6666666666666666
186.0,0.9408602150537635,0.9370300871846413,0.6122077922077922,0.05525686977299879,0.0501792114695341,186.0,0.9731182795698925,0.9032258064516129,1.0,gpt-5_5_judgebench,0.0,rubric_only,186.0,186,0.9408602150537635,0.05913978494623651,6,0.5
186.0,0.9408602150537635,0.9355640174319486,0.5935064935064935,0.12365591397849462,0.12365591397849467,186.0,0.9731182795698925,0.9032258064516129,1.0,gpt-5_5_judgebench,0.0,swap_only,186.0,186,0.9408602150537635,0.05913978494623651,6,0.0
186.0,0.9408602150537635,0.9174622209124745,0.48857142857142855,0.06451612903225806,0.06989247311827958,186.0,0.9731182795698925,0.9032258064516129,1.0,gpt-5_5_judgebench,0.0,self_only,186.0,186,0.9408602150537635,0.05913978494623651,6,0.5
186.0,0.9408602150537635,0.9197778091536604,0.5,0.25,0.4408602150537635,186.0,0.9731182795698925,0.9032258064516129,1.0,gpt-5_5_judgebench,0.0,raw,186.0,186,0.9408602150537635,0.05913978494623651,6,0.0
185.0,0.8972972972972973,0.9525224177702198,0.7630003151591553,0.08929928416599384,0.07190949204391606,186.0,0.9405405405405406,0.8486486486486486,0.9946236559139785,gpt-5_5_judgebench,0.0,logistic_fusion,186.0,186,0.8978494623655914,0.10270270270270265,7,0.2147447331703667
186.0,0.8978494623655914,0.9790884039291919,0.8312322722975103,0.08068260215053759,0.022462365591397908,186.0,0.9408602150537635,0.8548387096774194,1.0,gpt-5_5_judgebench,0.0,best_single_signal,186.0,186,0.8978494623655914,0.10215053763440862,7,0.594
186.0,0.8978494623655914,0.9001860932756638,0.5,0.10215053763440861,0.10215053763440862,186.0,0.9408602150537635,0.8548387096774194,1.0,gpt-5_5_judgebench,0.0,max_signal,186.0,186,0.8978494623655914,0.10215053763440862,7,1.0
174.0,0.9252873563218391,0.9224718981373112,0.6399306649858179,0.08751493428912782,0.07885304659498205,186.0,0.9597701149425287,0.8850574712643678,0.9354838709677419,gpt-5_5_judgebench,0.0,rubric_only,186.0,186,0.8978494623655914,0.07471264367816088,7,1.0
163.0,0.9141104294478528,0.9317358800994945,0.5776867317995588,0.17204301075268819,0.17204301075268813,186.0,0.950920245398773,0.8711656441717791,0.8763440860215054,gpt-5_5_judgebench,0.0,swap_only,186.0,186,0.8978494623655914,0.08588957055214719,7,1.0
182.0,0.9010989010989011,0.9006274841651115,0.5173337535455405,0.10215053763440861,0.10215053763440858,186.0,0.945054945054945,0.8571428571428571,0.978494623655914,gpt-5_5_judgebench,0.0,self_only,186.0,186,0.8978494623655914,0.09890109890109888,7,1.0
186.0,0.8978494623655914,0.9001860932756638,0.5,0.25,0.3978494623655914,186.0,0.9408602150537635,0.8548387096774194,1.0,gpt-5_5_judgebench,0.0,raw,186.0,186,0.8978494623655914,0.10215053763440862,7,0.0
185.0,0.9351351351351351,0.9845991947729268,0.8328544061302682,0.048802238353783466,0.02970500200597256,186.0,0.9675675675675676,0.8972972972972973,0.9946236559139785,gpt-5_5_judgebench,0.0,logistic_fusion,186.0,186,0.9354838709677419,0.06486486486486487,8,0.10986759088721093
185.0,0.9351351351351351,0.98473200159264,0.8151340996168582,0.05801137634408596,0.057752688172043355,186.0,0.9675675675675676,0.8972972972972973,0.9946236559139785,gpt-5_5_judgebench,0.0,best_single_signal,186.0,186,0.9354838709677419,0.06486486486486487,8,0.5780000000000001
